V_2026_PARITY_01B_BOT_LOGIC_PARITY_AUDIT
live_bot_file_modified,false
mt5_import_stubbed,true
old_v_2026_parity_01_status,INVALID_HARNESS_SAME_BAR_EXIT_BUG
research_exit_convention,ablate.simulate uses eval_start=entry_index+1; fill bar extremes are not evaluated against the new position

GOLDEN_LIVE_REPLAY_CHECK
required_match_pct,0.9500
live_log,research/iux_compression_breakout_live_log.csv
historical_window_bars,276
live_event_count,16
harness_event_count,52
reconciliation,event,live_time,harness_time,live_direction,harness_direction,live_high,harness_high,live_low,harness_low,live_intended,harness_intended,notes
MISMATCH,signal,2026-06-29T21:30:00+00:00,,,,4032.05,,4005.39,,None,,compression confirmed; OCO pending stops placed at range edges
MISMATCH,signal,2026-06-29T21:45:00+00:00,,,,4032.05,,4005.39,,None,,compression confirmed; OCO pending stops placed at range edges
MISMATCH,signal,2026-06-29T23:00:00+00:00,,,,4030.82,,4005.39,,None,,compression confirmed; OCO pending stops placed at range edges
MISMATCH,entry,2026-06-29T23:45:00+00:00,,short,,4030.82,,4005.39,,4005.39,,pending range-edge order filled; opposite pending cancelled
MISMATCH,signal,2026-06-30T00:00:00+00:00,,,,4025.24,,4005.39,,None,,compression confirmed; OCO pending stops placed at range edges
MISMATCH,entry,2026-06-30T00:00:00+00:00,,short,,4025.24,,4005.39,,4005.39,,pending range-edge order filled; opposite pending cancelled
MISMATCH,signal,2026-06-30T00:30:00+00:00,,,,4022.36,,4005.39,,None,,compression confirmed; OCO pending stops placed at range edges
MISMATCH,entry,2026-06-30T06:15:00+00:00,,long,,0.0,,0.0,,4022.58,,pending range-edge order filled; opposite pending cancelled
MISMATCH,signal,2026-06-30T13:45:00+00:00,,,,4037.37,,4008.73,,None,,compression confirmed; OCO pending stops placed at range edges
MISMATCH,entry,2026-06-30T13:45:00+00:00,,long,,4037.37,,4008.73,,4037.37,,pending range-edge order filled; opposite pending cancelled
MISMATCH,order_skip,2026-06-30T14:00:00+00:00,,long,,4037.37,,4008.73,,4037.37,,buy_stop invalid or missed: entry=4037.37 <= ask+stops=4043.69; price already too close/beyond edge
MISMATCH,signal,2026-06-30T14:00:00+00:00,,,,4037.37,,4008.73,,None,,compression confirmed; OCO pending stops placed at range edges
MISMATCH,entry,2026-06-30T20:30:00+00:00,,short,,0.0,,0.0,,4008.6,,pending range-edge order filled; opposite pending cancelled; reconstructed after restart from open MT5 position
MISMATCH,order_skip,2026-06-30T23:45:00+00:00,,short,,4033.81,,4006.14,,4006.14,,sell_stop invalid or missed: entry=4006.14 >= bid-stops=4005.85; price already too close/beyond edge
MISMATCH,signal,2026-06-30T23:45:00+00:00,,,,4033.81,,4006.14,,None,,compression confirmed; OCO pending stops placed at range edges
MISMATCH,entry,2026-07-01T11:30:00+00:00,,long,,0.0,,0.0,,4033.89,,pending range-edge order filled; opposite pending cancelled; reconstructed after restart from open MT5 position
HARNESS_ONLY,signal,,2026-06-29T08:00:00+00:00,,oco,,4068.695,,4039.39,,None,compression confirmed
HARNESS_ONLY,signal,,2026-06-29T08:15:00+00:00,,oco,,4068.695,,4039.39,,None,compression confirmed
HARNESS_ONLY,signal,,2026-06-29T08:30:00+00:00,,oco,,4068.695,,4039.39,,None,compression confirmed
HARNESS_ONLY,signal,,2026-06-29T08:45:00+00:00,,oco,,4068.695,,4039.39,,None,compression confirmed
HARNESS_ONLY,signal,,2026-06-29T09:00:00+00:00,,oco,,4068.695,,4039.39,,None,compression confirmed
HARNESS_ONLY,signal,,2026-06-29T09:15:00+00:00,,oco,,4068.695,,4039.39,,None,compression confirmed
HARNESS_ONLY,signal,,2026-06-29T09:30:00+00:00,,oco,,4068.695,,4040.8,,None,compression confirmed
HARNESS_ONLY,signal,,2026-06-29T09:45:00+00:00,,oco,,4068.695,,4024.4165,,None,compression confirmed
